month,dayofweek,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,off,off
2,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,off,off
3,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,off,off
4,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
5,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
6,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,evening,standard,standard,off,off
7,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,evening,standard,standard,off,off
8,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,evening,standard,standard,off,off
9,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
10,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
11,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
12,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
1,6,off,off,off,off,off,off,off,standard,standard,standard,standard,standard,off,off,off,off,off,off,standard,standard,off,off,off,off
1,7,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off
